2022-09-08 19:00:19.911 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.monitor.domain.Visits ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.059 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.kpi.domain.CAIdentityContainer".
2022-09-08 19:00:20.059 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.kpi.domain.CAIdentityContainer ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.146 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.kpi.domain.PKI".
2022-09-08 19:00:20.146 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.kpi.domain.PKI ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.162 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.kpi.domain.CertificateAuthority".
2022-09-08 19:00:20.162 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.kpi.domain.CertificateAuthority ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.421 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.AccountRole".
2022-09-08 19:00:20.421 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.AccountRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.513 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RoleAcl".
2022-09-08 19:00:20.514 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RoleAcl ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.561 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RoleAbac".
2022-09-08 19:00:20.561 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RoleAbac ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.628 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.Dict".
2022-09-08 19:00:20.628 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.Dict ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.682 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.DictDetail".
2022-09-08 19:00:20.682 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.DictDetail ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-09-08 19:00:20.793 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.kafka.domain.Kafka".
2022-09-08 19:00:20.793 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.kafka.domain.Kafka ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
