2022-08-31 15:16:25.892 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.logging.domain.Log ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:25.966 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.monitor.domain.Visits".
2022-08-31 15:16:25.967 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.monitor.domain.Visits ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.144 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.kpi.domain.CAIdentityContainer".
2022-08-31 15:16:26.145 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.kpi.domain.CAIdentityContainer ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.251 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.kpi.domain.PKI".
2022-08-31 15:16:26.251 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.kpi.domain.PKI ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.269 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.kpi.domain.CertificateAuthority".
2022-08-31 15:16:26.269 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.kpi.domain.CertificateAuthority ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.608 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.AccountRole".
2022-08-31 15:16:26.608 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.AccountRole ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.742 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RoleAcl".
2022-08-31 15:16:26.742 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RoleAcl ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.804 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.RoleAbac".
2022-08-31 15:16:26.804 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.RoleAbac ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.886 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.Dict".
2022-08-31 15:16:26.886 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.Dict ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:26.958 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.system.domain.DictDetail".
2022-08-31 15:16:26.958 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.system.domain.DictDetail ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:27.381 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.yyok.share.admin.kafka.domain.Kafka".
2022-08-31 15:16:27.381 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.yyok.share.admin.kafka.domain.Kafka ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2022-08-31 15:16:31.685 [kafka-producer-network-thread | producer-1] WARN  org.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Connection to node -1 (/192.168.10.36:9092) could not be established. Broker may not be available.
2022-08-31 15:16:31.685 [kafka-producer-network-thread | producer-1] WARN  org.apache.kafka.clients.NetworkClient - [Producer clientId=producer-1] Bootstrap broker 192.168.10.36:9092 (id: -1 rack: null) disconnected
